i j da db dc Dx Dy Dz J
0 0 0 1 0 -0.841 2.12368 0 18.1497
0 0 0 2 0 0.0783 -0.5268 0 -3.09654
0 0 0 3 0 -0.08296 -0.05052 0 0.2106
0 0 0 4 0 0 -0 0 1.22732
0 0 1 -4 0 -0.18672 0.0832 0 -0.6254
0 0 1 -3 0 0.05036 -0.02306 0 -1.37772
0 0 1 -2 0 0.1165 0.06016 0 1.81554
0 0 1 -1 0 -0.16376 0 0 7.17886
0 0 1 0 0 0.841 2.12368 0 18.1497
0 0 1 1 0 0 0.0109 0 3.17758
0 0 1 2 0 0.10734 -0.14748 0 1.9289
0 0 1 3 0 0.09092 -0.1132 0 0.65858
0 0 1 4 0 -0.18672 0.0832 0 -0.6254
0 0 2 -4 0 -0.06608 0.07964 0 0.38056
0 0 2 -3 0 0.14198 -0.09312 0 0.27038
0 0 2 -2 0 0.05922 -0 0 -0.20028
0 0 2 -1 0 0.1165 -0.06016 0 1.81554
0 0 2 0 0 -0.0783 -0.5268 0 -3.09654
0 0 2 1 0 -0.10734 -0.14748 0 1.9289
0 0 2 2 0 -0 0.11638 0 0.33394
0 0 2 3 0 -0.16874 -0.15284 0 -0.63898
0 0 2 4 0 -0.06608 0.07964 0 0.38056
0 0 3 -4 0 -0.00786 -0.0144 0 -0.23246
0 0 3 -3 0 0.07998 -0 0 -0.29934
0 0 3 -2 0 0.14198 0.09312 0 0.27038
0 0 3 -1 0 0.05036 0.02306 0 -1.37772
0 0 3 0 0 0.08296 -0.05052 0 0.2106
0 0 3 1 0 -0.09092 -0.1132 0 0.65858
0 0 3 2 0 0.16874 -0.15284 0 -0.63898
0 0 3 3 0 -0 0.08342 0 -0.12616
0 0 3 4 0 -0.00786 -0.0144 0 -0.23246
0 0 4 -4 0 -0 0 0 -0.2987
0 0 4 -3 0 -0.00786 0.0144 0 -0.23246
0 0 4 -2 0 -0.06608 -0.07964 0 0.38056
0 0 4 -1 0 -0.18672 -0.0832 0 -0.6254
0 0 4 0 0 -0 -0 0 1.22732
0 0 4 1 0 0.18672 0.0832 0 -0.6254
0 0 4 2 0 0.06608 0.07964 0 0.38056
0 0 4 3 0 0.00786 -0.0144 0 -0.23246
0 0 4 4 0 0 -0 0 -0.2987
1 1 0 1 0 1.5373 -1.46492 0 28.4819
1 1 0 2 0 0.29242 -0.55494 0 -3.19808
1 1 0 3 0 -0.14034 0.02158 0 0.42616
1 1 0 4 0 -0 0 0 0.37468
1 1 1 -4 0 -0.04558 -0.06056 0 -0.43098
1 1 1 -3 0 -0.0604 0.00696 0 -0.45674
1 1 1 -2 0 0.48022 0.18378 0 2.63526
1 1 1 -1 0 1.20934 0 0 9.00098
1 1 1 0 0 -1.5373 -1.46492 0 28.4819
1 1 1 1 0 0 -0.4398 0 1.09818
1 1 1 2 0 -0.12666 0.24088 0 0.36462
1 1 1 3 0 0.2471 0.0554 0 0.46994
1 1 1 4 0 -0.04558 -0.06056 0 -0.43098
1 1 2 -4 0 -0.0017 0.02768 0 0.40838
1 1 2 -3 0 0.03388 0.14272 0 0.6993
1 1 2 -2 0 -0.24876 0 0 -0.97236
1 1 2 -1 0 0.48022 -0.18378 0 2.63526
1 1 2 0 0 -0.29242 -0.55494 0 -3.19808
1 1 2 1 0 0.12666 0.24088 0 0.36462
1 1 2 2 0 0 0.29346 0 -1.93824
1 1 2 3 0 -0.2198 0.03378 0 0.19562
1 1 2 4 0 -0.0017 0.02768 0 0.40838
1 1 3 -4 0 0.04158 0.00156 0 -0.14934
1 1 3 -3 0 0.02572 0 0 0.44054
1 1 3 -2 0 0.03388 -0.14272 0 0.6993
1 1 3 -1 0 -0.0604 -0.00696 0 -0.45674
1 1 3 0 0 0.14034 0.02158 0 0.42616
1 1 3 1 0 -0.2471 0.0554 0 0.46994
1 1 3 2 0 0.2198 0.03378 0 0.19562
1 1 3 3 0 -0 -0.03696 0 -0.37098
1 1 3 4 0 0.04158 0.00156 0 -0.14934
1 1 4 -4 0 0 0 0 0.01954
1 1 4 -3 0 0.04158 -0.00156 0 -0.14934
1 1 4 -2 0 -0.0017 -0.02768 0 0.40838
1 1 4 -1 0 -0.04558 0.06056 0 -0.43098
1 1 4 0 0 0 0 0 0.37468
1 1 4 1 0 0.04558 -0.06056 0 -0.43098
1 1 4 2 0 0.0017 0.02768 0 0.40838
1 1 4 3 0 -0.04158 0.00156 0 -0.14934
1 1 4 4 0 0 -0 0 0.01954
0 1 -4 -4 0 0.000000 0.041480 0.000000 0.377680
0 1 -4 -3 0 -0.063100 -0.083800 0.018920 -0.227940
0 1 -4 -2 0 0.111800 -0.012040 -0.039340 0.134760
0 1 -4 -1 0 -0.049280 0.148260 0.067840 -0.496100
0 1 -4 0 0 0.021960 0.030740 -0.141860 0.366880
0 1 -4 1 0 0.076120 -0.027480 0.030620 0.374460
0 1 -4 2 0 0.025360 0.000640 -0.024720 -0.463020
0 1 -4 3 0 -0.046960 0.000000 -0.000000 0.108540
0 1 -3 -4 0 0.063100 -0.083800 -0.018920 -0.227940
0 1 -3 -3 0 0.000000 0.109820 0.000000 0.452280
0 1 -3 -2 0 -0.077600 0.030900 0.107180 0.104400
0 1 -3 -1 0 0.205220 -0.088700 0.012840 -1.618500
0 1 -3 0 0 -0.058000 -0.052980 0.082080 1.293180
0 1 -3 1 0 -0.054280 -0.051400 -0.097260 -0.940160
0 1 -3 2 0 0.171780 0.000000 0.000000 -0.488780
0 1 -3 3 0 0.025360 -0.000640 0.024720 -0.463020
0 1 -2 -4 0 -0.111800 -0.012040 0.039340 0.134760
0 1 -2 -3 0 0.077600 0.030900 -0.107180 0.104400
0 1 -2 -2 0 -0.000000 0.194400 0.000000 0.575140
0 1 -2 -1 0 0.087100 -0.076360 0.310380 -0.646020
0 1 -2 0 0 -0.671100 -0.089240 0.306300 0.082420
0 1 -2 1 0 0.317180 -0.000000 -0.000000 3.540040
0 1 -2 2 0 -0.054280 0.051400 0.097260 -0.940160
0 1 -2 3 0 0.076120 0.027480 -0.030620 0.374460
0 1 -1 -4 0 0.049280 0.148260 -0.067840 -0.496100
0 1 -1 -3 0 -0.205220 -0.088700 -0.012840 -1.618500
0 1 -1 -2 0 -0.087100 -0.076360 -0.310380 -0.646020
0 1 -1 -1 0 0.000000 -0.232540 0.000000 22.170500
0 1 -1 0 0 0.027340 -0.000000 -0.000000 84.383100
0 1 -1 1 0 -0.671100 0.089240 -0.306300 0.082420
0 1 -1 2 0 -0.058000 0.052980 -0.082080 1.293180
0 1 -1 3 0 0.021960 -0.030740 0.141860 0.366880
0 1 0 -4 0 -0.021960 0.030740 0.141860 0.366880
0 1 0 -3 0 0.058000 -0.052980 -0.082080 1.293180
0 1 0 -2 0 0.671100 -0.089240 -0.306300 0.082420
0 1 0 -1 0 -0.027340 0.000000 -0.000000 84.383100
0 1 0 0 0 -0.000000 0.232540 0.000000 22.170500
0 1 0 1 0 0.087100 0.076360 -0.310380 -0.646020
0 1 0 2 0 0.205220 0.088700 -0.012840 -1.618500
0 1 0 3 0 -0.049280 -0.148260 -0.067840 -0.496100
0 1 1 -4 0 -0.076120 -0.027480 -0.030620 0.374460
0 1 1 -3 0 0.054280 -0.051400 0.097260 -0.940160
0 1 1 -2 0 -0.317180 0.000000 -0.000000 3.540040
0 1 1 -1 0 0.671100 0.089240 0.306300 0.082420
0 1 1 0 0 -0.087100 0.076360 0.310380 -0.646020
0 1 1 1 0 0.000000 -0.194400 0.000000 0.575140
0 1 1 2 0 -0.077600 -0.030900 -0.107180 0.104400
0 1 1 3 0 0.111800 0.012040 0.039340 0.134760
0 1 2 -4 0 -0.025360 0.000640 0.024720 -0.463020
0 1 2 -3 0 -0.171780 -0.000000 0.000000 -0.488780
0 1 2 -2 0 0.054280 0.051400 -0.097260 -0.940160
0 1 2 -1 0 0.058000 0.052980 0.082080 1.293180
0 1 2 0 0 -0.205220 0.088700 0.012840 -1.618500
0 1 2 1 0 0.077600 -0.030900 0.107180 0.104400
0 1 2 2 0 0.000000 -0.109820 0.000000 0.452280
0 1 2 3 0 -0.063100 0.083800 -0.018920 -0.227940
0 1 3 -4 0 0.046960 -0.000000 -0.000000 0.108540
0 1 3 -3 0 -0.025360 -0.000640 -0.024720 -0.463020
0 1 3 -2 0 -0.076120 0.027480 0.030620 0.374460
0 1 3 -1 0 -0.021960 -0.030740 -0.141860 0.366880
0 1 3 0 0 0.049280 -0.148260 0.067840 -0.496100
0 1 3 1 0 -0.111800 0.012040 -0.039340 0.134760
0 1 3 2 0 0.063100 0.083800 0.018920 -0.227940
0 1 3 3 0 -0.000000 -0.041480 0.000000 0.377680
